spelling	transcription	stressTrans	syllStruct	syllabification	antepenultOnset	apStress	penultHLweight	preantepenultHLweight	finalHLweight	morphology	vowelLength	preantepenultWeight	antepenultWeight	mainStress	finalStress	papStress	penultOnset	suffixType	penultWeight	antepenultHLweight	S	finalWeight	Suffix	finalC	Prefix	prefixType	finalOnset	finalV	penultStress	codaLength	coda	freq	POS
sacrifice	SAE1KRAH0FAY2S	102	CL.CCL.CTC	(s AE)(k r AH)(f AY s)	C	1	L	other	H	simple	longV	other	-V	antepenult	2	other	CC	other	-V	L	S	-TC	noSuffix	Singleton	noPrefix	other	C	ay	0	1	 s	2.8116	V
disclose	DIH0SKLOW1Z	01	CL.CCCTC	(d IH)(s k l OW z)	other	other	L	other	H	complex	longV	other	other	final	1	other	C	other	-V	other	otherSingleton	-TC	noSuffix	Singleton	prefix	unstressed	CCC	ow	0	1	 z	1.8751	V
proviso	PRAH0VAY1ZOW0	010	CCL.CT.CT	(p r AH)(v AY)(z OW)	CC	0	H	other	H	complex	longV	other	-V	penult	0	other	C	other	-VV	L	other	-VV	noSuffix	open	prefix	unstressed	C	ow	1	0		1.0414	N
angular	AE1NGGYAH0LER0	100	LC.CCL.CL	(AE ng)(g y AH)(l ER)	0	1	L	other	L	complex	shortV	other	-LC	antepenult	0	other	CC	antepenultShift	-V	H	other	-V	suffix	open	noPrefix	other	C	er	0	0		0.9031	A
dictionary	DIH1KSHAH0NEH2RIY0	1020	CLC.CL.CL.CL	(d IH k)(sh AH)(n EH)(r IY)	C	0	L	H	L	complex	shortV	-LC	-V	preante	0	1	C	preantepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	iy	2	0		2.1239	N
zoological	ZUW2LAA1JHIH0KAH0L	2100	CL.CL.CL.CL	(z UW)(l AA)(jh IH)(k AL)	C	1	L	L	L	complex	shortV	-V	-V	antepenult	0	2	C	antepenultShift	-V	L	other	-V	suffix	open	noPrefix	other	C	al	0	0		0.9542	A
molly	MAA1LIY0	10	CL.CL	(m AA)(l IY)	other	other	L	other	L	complex	shortV	other	other	penult	0	other	C	noshiftOneSyll	-V	other	other	-V	suffix	open	noPrefix	other	C	iy	1	0		2.1847	NA
shekel	SHEH1KAH0L	10	CL.CL	(sh EH)(k AL)	other	other	L	other	L	simple	shortV	other	other	penult	0	other	C	other	-V	other	other	-V	noSuffix	open	noPrefix	other	C	al	1	0		0.3010	N
jumbo	JHAH1MBOW0	10	CL.CT	(jh AN)(b OW)	other	other	L	other	H	simple	longV	other	other	penult	0	other	C	other	-V	other	other	-VV	noSuffix	open	noPrefix	other	C	ow	1	0		2.0607	A
tenement	TEH1NAH0MAH0NT	100	CL.CL.CLC	(t EH)(n AH)(m AN t)	C	1	L	other	H	complex	shortV	other	-V	antepenult	0	other	C	noshiftOneSyll	-V	L	otherSingleton	-LC	suffix	Singleton	noPrefix	other	C	an	0	1	 t	1.5051	N
